,city,owner,brand,price,kms_driven,age,power
0,1.0,1,1,35000.0,17654.0,3.0,110.0
1,2.0,1,2,119900.0,11000.0,4.0,350.0
2,2.0,1,3,600000.0,110.0,8.0,675.0
3,3.0,1,1,65000.0,16329.0,4.0,180.0
4,3.0,1,4,80000.0,10000.0,3.0,150.0
5,2.0,1,4,53499.0,25000.0,6.0,150.0
6,2.0,1,5,85000.0,8200.0,3.0,160.0
7,2.0,1,6,45000.0,12645.0,3.0,100.0
8,3.0,1,2,145000.0,9190.0,3.0,350.0
9,2.0,2,2,88000.0,19000.0,7.0,500.0
10,3.0,1,4,72000.0,20000.0,7.0,150.0
11,3.0,1,4,95000.0,9665.0,4.0,250.0
12,3.0,1,7,78000.0,9900.0,4.0,200.0
13,2.0,1,7,29499.0,20000.0,8.0,100.0
14,2.0,1,7,29900.0,20000.0,7.0,125.0
15,3.0,1,7,90000.0,11574.0,3.0,200.0
16,3.0,1,7,120000.0,23000.0,3.0,200.0
17,4.0,1,8,48000.0,24725.0,5.0,150.0
18,4.0,2,9,240000.0,15025.0,3.0,302.0
22,2.0,1,6,46500.0,3500.0,2.0,110.0
23,5.0,1,2,121700.0,24520.0,5.0,500.0
24,2.0,1,4,45000.0,23000.0,6.0,150.0
26,1.0,1,6,20000.0,29305.0,16.0,125.0
27,6.0,2,5,20800.0,30500.0,7.0,125.0
28,3.0,1,7,50000.0,19000.0,8.0,150.0
29,7.0,1,5,81200.0,9100.0,2.0,160.0
30,8.0,1,7,88000.0,21914.0,3.0,200.0
31,9.0,2,4,80000.0,20000.0,4.0,150.0
32,10.0,1,7,40900.0,15000.0,6.0,220.0
33,,1,10,180000.0,17700.0,4.0,390.0
34,,1,5,40000.0,30000.0,8.0,150.0
35,,2,10,70000.0,100000.0,8.0,200.0
36,,1,2,98800.0,39000.0,5.0,350.0
37,,1,5,65000.0,43000.0,6.0,150.0
38,,1,2,190500.0,4550.0,2.0,500.0
39,3.0,1,10,179000.0,3400.0,2.0,200.0
40,,1,2,70000.0,45000.0,8.0,350.0
41,8.0,1,7,45000.0,36100.0,6.0,220.0
42,,1,2,78000.0,8500.0,13.0,350.0
43,3.0,1,7,110000.0,2550.0,2.0,220.0
44,2.0,1,2,85000.0,18000.0,6.0,350.0
45,2.0,1,7,38000.0,35000.0,9.0,200.0
46,,1,2,55346.0,38000.0,10.0,350.0
47,,1,11,28000.0,45000.0,2.0,110.0
48,4.0,1,6,37000.0,10800.0,8.0,150.0
49,2.0,1,8,97000.0,4400.0,3.0,150.0
50,,1,4,40000.0,357000.0,8.0,150.0
